title,GoodReadAverageRating,description,bookformat,id,numberofpages,NumberofRatings,author,bookEdition,Language
The Slow Regard of Silent Things,3.92,"Her name is Auri, and she is full of mysteries.",Hardcover,21535271,159 pages,72024,Patrick Rothfuss,First Edition,English
Twelve Years a Slave,4.16,"Perhaps the best written of all the slave narratives, Twelve Years a Slave is a harrowing memoir about one of the darkest periods in American history. It recounts how Solomon Northup, born a free man in New York, was lured",ebook,18478222,363 pages,65665,Solomon Northup,Enhanced Edition,"
                  "
"Lover Avenged, part one",4.41,"John Matthew has come a long way since he was found living among humans, his vampire nature unknown to himself and to those around him. After he was taken in by the Brotherhood, no one could guess what his true history was- or his true identity. Indeed, the fallen Brother Darius has returned, but with a different face and a very different destiny. As a vicious personal vendetta takes John into the heart of the war, he will need to call up on both who he is now and who he once was in order to face off against evil incarnate.",Hardcover,7046495,528 pages,90531,J.R. Ward,First Edition,English
PostSecret: Extraordinary Confessions from Ordinary Lives,4.01,"You are invited to anonymously contribute a secret to a group art project. Your secret can be a regret, fear, betrayal, desire, confession, or childhood humiliation. Reveal ",Hardcover,87640,278 pages,59727,Frank Warren,First Edition,"
                  "
Hearts in Atlantis,3.8,"Stephen King, whose first novel, Carrie, was published in 1974, the year before the last U.S. troops withdrew from Vietnam, is the first hugely popular writer of the TV generation. Images from that war -- and the",Paperback,11602,640 pages,71353,Stephen King,Film tie-in,English
"Lover Enshrined, part two",4.38,"Rehvenge has always kept his distance from the Brotherhood—even though his sister is married to a member, for he harbors a deadly secret that could make him a huge liability in their war against the lessers. As plots within and outside of the Brotherhood threaten to reveal the truth about Rehvenge, he turns to the only source of light in his darkening world, Ehlena, a vampire untouched by the corruption that has its hold on him—and the only thing standing between him and eternal destruction.",Hardcover,5098079,527 pages,92917,J.R. Ward,First Edition,English
الأسود يليق بك,3.71,الموسيقى لا تمهلك، إنها تمضي بك سراعا كما الحياة، جدولا طربا، أو شلالا هادرا يلقي بك إلى المصب. تدور بك كفالس محموم، على إيقاعه تبدأقصص الحب ...و تنتهي.,Paperback,16081961,331 pages,52554,أحلام مستغانمي,الطبعة الأولى,"
                  "
This Man,4.13,"Young interior designer Ava O’Shea has an appointment for a first consultation at The Manor with the owner, Mr Jesse Ward. She is expecting nothing more than an overweight, cravat wearing, well-to-do countryman, and on arrival, nothing would suggest otherwise. How wrong could she be? This Man is devastatingly handsome, charming and confident. He is also a conceited, hedonistic playboy, who knows no boundaries. Ava desperately does not want to be attracted to him, but she can’t control the overwhelming effect he has on her. Every instinct is telling her to run, so she does, but Jesse Ward is not so willing to let her go. He wants her and is determined to have her. She knows she is heading for heartbreak, but how can she run when he won’t let her?",ebook,16140036,448 pages,85590,Jodi Ellen Malpas,1st edition,                                  
The Orphan Master's Son,4.06,"Pak Jun Do is the haunted son of a lost mother - a singer ""stolen"" to Pyongyang - and an influential father who runs Long Tomorrows, a work camp for orp",Hardcover,11529868,443 pages,64316,Adam Johnson,US / CAN,English
Pygmalion,3.9,"Shaw wrote the part of Eliza Doolittle - an east-end dona with an apron and three orange and red ostrich feathers - for Mrs Patrick Campbell, with whom he had a passionate but unconsummated affair. From the outset the play was a sensational success, although Shaw, irritated by its popularity at the expense of his artistic intentions, dismissed it as a potboiler. The Pygmalion of legend falls in love with his perfect female statue and persuades Venus to bring her to life so that he can marry her. But Shaw radically reworks Ovid's tale to give it a feminist slant: while Higgins teaches Eliza to speak and act like a duchess, she also asserts her independence, adamantly refusing to be his creation.",Paperback,7714,134 pages,75907,George Bernard Shaw,Dover Thrift Edition,English
Sophie's Choice,4.18,"William Styron (1925–2006), born in Newport News, Virginia, was one of the greatest American writers of his generation. Styron published his first book, ",Paperback,228560,562 pages,71446,William Styron,Vintage International Edition,English
Cabin Fever,4.21,"Greg Heffley is in big trouble. School property has been damaged, and Greg is the prime suspect. But the crazy thing is, he’s innocent. Or at least sort of. The authorities are closing in, but when a surprise blizzard hits, the Heffley family is trapped indoors. Greg knows that when the snow melts he’s going to have to face the music, but could any punishment be worse than being stuck inside with your family for the holidays?",Hardcover,11254250,224 pages,69234,Jeff Kinney,First Edition,English
Out from Boneville,4.16,"After being run out of Boneville, the three Bone cousins, Fone Bone, Phoney Bone, and Smiley Bone, are separated and lost in a vast uncharted desert.",Paperback,106134,138 pages,63489,Jeff Smith,1st Edition,English
Heart-Shaped Box,3.82,"Aging, self-absorbed rock star Judas Coyne has a thing for the macabre -- his collection includes sketches from infamous serial killer John Wayne Gacy, a trepanned skull from the 16th century, a used hangman's noose, Aleister Crowley's childhood chessboard, etc. -- so when his assistant tells him about a ghost for sale on an online auction site, he immediately puts in a bid and purchases it. ",Hardcover,153025,376 pages,75290,Joe Hill,First Edition,English
The Rise and Fall of the Third Reich: A History of Nazi Germany,4.15,Hitler boasted that The Third Reich would last a thousand years. It lasted only 12. But those 12 years contained some of the most catastrophic events Western civilization has ever known.,Mass Market Paperback,767171,1614 pages,68999,William L. Shirer,50th Anniversary Edition,English
